University,75earn,Ownership,Control
Mount St. Mary's College,77900,2,Private Non Profit
University of Miami,77800,2,Private Non Profit
Haverford College,77800,2,Private Non Profit
Quinnipiac University,77600,2,Private Non Profit
Dominican University of California,77500,2,Private Non Profit
University of Denver,77400,2,Private Non Profit
Catholic University of America,77400,2,Private Non Profit
Wentworth Institute of Technology,77400,2,Private Non Profit
Seattle University,77400,2,Private Non Profit
Franklin and Marshall College,77300,2,Private Non Profit
Saint Johns University,77000,2,Private Non Profit
Rhodes College,77000,2,Private Non Profit
Illinois Wesleyan University,76600,2,Private Non Profit
Bates College,76500,2,Private Non Profit
LeTourneau University,76500,2,Private Non Profit
Lawrence Technological University,76200,2,Private Non Profit
Saint Louis University-Main Campus,76200,2,Private Non Profit
Regis University,76100,2,Private Non Profit
Hampden-Sydney College,76100,2,Private Non Profit
Pacific Union College,75800,2,Private Non Profit
Pomona College,75500,2,Private Non Profit
New York Institute of Technology,75500,2,Private Non Profit
Siena College,75500,2,Private Non Profit
Hofstra University,75300,2,Private Non Profit
Wagner College,75300,2,Private Non Profit
Bellevue University,75200,2,Private Non Profit
John Brown University,74800,2,Private Non Profit
University of Dayton,74800,2,Private Non Profit
Marist College,74500,2,Private Non Profit
Samford University,74400,2,Private Non Profit
